product_name,category,brand,style,color,price,room_type,product_url,image_url,Date
Zinus Modern Studio 10 Metal Platform Bed King,Bed,Amazon,"Modern, Industrial",Black,159,Bedroom,https://www.amazon.com/dp/B01LZB70CQ,https://m.media-amazon.com/images/I/51s9jP5kUbL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Alexis Deluxe Wood Platform Bed Full,Bed,Amazon,"Scandinavian, Modern","Pine, Natural",179,Bedroom,https://www.amazon.com/dp/B075GT8819,https://m.media-amazon.com/images/I/91mwwfwOrdL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Arnav Metal Platform Bed Queen,Bed,Amazon,"Industrial, Modern",Black,149,Bedroom,https://www.amazon.com/dp/B01B8GSXNA,https://m.media-amazon.com/images/I/91Wn4k3nY6L._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Mia Metal Platform Bed Queen,Bed,Amazon,"Industrial, Modern",Black,169,Bedroom,https://www.amazon.com/dp/B01B8GQAOO,https://m.media-amazon.com/images/I/815LNLOtPAS._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Mia Metal Platform Bed Twin,Bed,Amazon,"Industrial, Modern",Black,119,Bedroom,https://www.amazon.com/dp/B01B8GQ7RO,https://m.media-amazon.com/images/I/81P2bnMJZEL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Modern Studio 14 Platform Bed Queen,Bed,Amazon,"Modern, Minimalist",Black,139,Bedroom,https://www.amazon.com/dp/B01DLB7MPU,https://m.media-amazon.com/images/I/61aNdAh7b4L._AC_SX300_SY300_QL70_FMwebp_.jpg,
Zinus Omkaram Upholstered Platform Bed Queen,Bed,Amazon,"Modern, Boho","Navy, Blue",279,Bedroom,https://www.amazon.com/dp/B074QVXRG6,https://m.media-amazon.com/images/I/91SMmpBpYiS._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Leah Bamboo Platform Bed Queen,Bed,Amazon,"Japandi, Scandinavian","Brown, Natural",249,Bedroom,https://www.amazon.com/dp/B0CL4FFX18,https://m.media-amazon.com/images/I/71Ru5r5aNDL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Paul Metal Bamboo Platform Bed Twin,Bed,Amazon,"Japandi, Modern","Brown, Black",189,Bedroom,https://www.amazon.com/dp/B07YQN9R32,https://m.media-amazon.com/images/I/81-IR3+F-0L._AC_SY300_SX300_QL70_FMwebp_.jpg,
Zinus Kai Bamboo Metal Platform Bed Full,Bed,Amazon,"Japandi, Modern","Brown, Black",219,Bedroom,https://www.amazon.com/dp/B0BQ1RXVR6,https://m.media-amazon.com/images/I/81lTUWPc4oL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Amazon Basics Foldable Metal Bed Frame Full,Bed,Amazon,"Modern, Minimalist",Black,89,Bedroom,https://www.amazon.com/dp/B073WRF565,https://m.media-amazon.com/images/I/61q39wTCtbL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Amazon Basics Foldable Metal Bed Frame Queen,Bed,Amazon,"Modern, Minimalist",Black,99,Bedroom,https://www.amazon.com/dp/B073WRLNS9,https://m.media-amazon.com/images/I/A1UVQHSfgvL._AC_SY300_SX300_QL70_FMwebp_.jpg,
IDEALHOUSE Platform Bed Queen with 4 Drawers,Bed,Amazon,"Modern, Industrial","Black, Gray",299,Bedroom,https://www.amazon.com/dp/B0CP5M37HD,https://m.media-amazon.com/images/I/81KenwOuVaL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Allewie Upholstered Queen Bed with 4 Drawers,Bed,Amazon,"Modern, Boho",Light Gray,349,Bedroom,https://www.amazon.com/dp/B08J7T5RVM,https://m.media-amazon.com/images/I/91di1YSK4NL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Modway Flourish Dining Chair,Chair,Amazon,"Mid-Century, Modern","Walnut, Beige",129.99,Living Room,https://www.amazon.com/dp/B07MTMNYYW,https://m.media-amazon.com/images/I/616WfoC-VOL._AC_SY300_SX300_QL70_FMwebp_.jpg,
"COLAMY Dining Chairs Set of 4, Gray",Chair,Amazon,"Modern, Minimalist","Gray, Black",219.99,Living Room,https://www.amazon.com/dp/B0D8NWTG51,https://m.media-amazon.com/images/I/81ZikIE4FPL._AC_SY300_SX300_QL70_FMwebp_.jpg,
NAFORT Dining Chairs Set of 6,Chair,Amazon,"Modern, Scandinavian","White, Oak",359.99,Living Room,https://www.amazon.com/dp/B0FY2VJRD8,https://m.media-amazon.com/images/I/51OCJR4OpyL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Aimerive Dining Chairs Set of 8,Chair,Amazon,"Modern, Minimalist","Black, Gray",479.99,Living Room,https://www.amazon.com/dp/B0G2XJVC9H,https://m.media-amazon.com/images/I/71YhVh+fD2L._AC_SX300_SY300_QL70_FMwebp_.jpg,
Bamskov Solid Oak Chair,Chair,Amazon,"Scandinavian, Minimalist","Oak, Natural",149.99,Living Room,https://www.amazon.com/dp/B0C53HRP21,https://m.media-amazon.com/images/I/51Jl-yJBOuL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Rivet Cove Mid-Century Sofa 72 Dark Grey,Sofa,Amazon,"Mid-Century, Modern",Dark Gray,599,Living Room,https://www.amazon.com/dp/B072PZVY6H,https://m.media-amazon.com/images/I/A1wcLZGFNaL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Aiden Mid-Century Sofa 86 Dark Gray,Sofa,Amazon,"Mid-Century, Modern",Dark Gray,749,Living Room,https://www.amazon.com/dp/B07PC11SF6,https://m.media-amazon.com/images/I/81KPkzYQaHL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Sloane Mid-Century Sofa 80 Pebble Grey,Sofa,Amazon,"Mid-Century, Modern","Gray, Beige",799,Living Room,https://www.amazon.com/dp/B072FVHS9G,https://m.media-amazon.com/images/I/91M-EfGef1L._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Sloane Loveseat 64 Pebble Grey,Sofa,Amazon,"Mid-Century, Modern","Gray, Beige",649,Living Room,https://www.amazon.com/dp/B0719WQH8N,https://m.media-amazon.com/images/I/91VMNtOVYpL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Sloane Sofa 80 Denim Blue,Sofa,Amazon,"Mid-Century, Modern",Blue,799,Living Room,https://www.amazon.com/dp/B07BWL4C41,https://m.media-amazon.com/images/I/81s7-YEyWdL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Revolve Modern Sofa 80 Caramel Leather,Sofa,Amazon,"Modern, Industrial","Brown, Tan",999,Living Room,https://www.amazon.com/dp/B072PZ4LVN,https://m.media-amazon.com/images/I/71hSR910cpL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Aiden Velvet Sofa 86 Hunter Green,Sofa,Amazon,"Mid-Century, Boho",Green,849,Living Room,https://www.amazon.com/dp/B07BKKXRVC,https://m.media-amazon.com/images/I/81LPkVwJRGL._AC_SY300_SX300_QL70_FMwebp_.jpg,
Rivet Aiden Sofa 86 Wathet Blue,Sofa,Amazon,"Mid-Century, Modern",Blue,749,Living Room,https://www.amazon.com/dp/B07P8STJ2Q,https://m.media-amazon.com/images/I/71D2um-WhnL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Rivet Cove Apartment Sofa 72 Light Grey,Sofa,Amazon,"Mid-Century, Minimalist",Light Gray,599,Living Room,https://www.amazon.com/dp/B072FVHRZ5,https://m.media-amazon.com/images/I/91ioLwrtEvL._AC_SX300_SY300_QL70_FMwebp_.jpg,
Article Sven 88 Tufted Leather Sofa Charme Tan,Sofa,Article,"Mid-Century, Modern","Tan, Brown",1699,Living Room,https://www.article.com/product/24178/sven-88-tufted-leather-sofa-charme-tan,https://cdn-images.article.com/products/SKU312A/2890x1500/image160148.jpg?fit=max&w=1200&q=100,
Article Sven Charme Tan Sofa,Sofa,Article,"Mid-Century, Modern","Tan, Brown",1499,Living Room,https://www.article.com/product/22677/sven-charme-tan-sofa,https://cdn-images.article.com/products/SKU312A/2890x1500/image160148.jpg?fit=max&w=1200&q=100,
Article Timber Charme Chocolat Leather Sofa,Sofa,Article,"Mid-Century, Modern","Brown, Chocolat",1899,Living Room,https://www.article.com/product/24154/timber-90-leather-sofa-charme-chocolat,https://cdn-images.article.com/products/SKU2127/2890x1500/image162347.jpg?fit=max&w=1200&q=100,
Article Ceni Chalk Gray Sofa 83,Sofa,Article,"Mid-Century, Modern",Gray,1099,Living Room,https://www.article.com/product/25353/ceni-83-sofa-chalk-gray,https://cdn-images.article.com/products/SKU22194/2890x1500/image161867.jpg?fit=max&w=1200&q=100,
Article Burrard Forest Green Sofa 83,Sofa,Article,"Mid-Century, Modern",Green,1299,Living Room,https://www.article.com/product/21200/burrard-83-5-sofa-forest-green,https://cdn-images.article.com/products/SKU13305/2890x1500/image124033.jpg?fit=max&w=1200&q=100,
Article Burrard Forest Green Loveseat,Sofa,Article,"Mid-Century, Modern",Green,1099,Living Room,https://www.article.com/product/21118/burrard-forest-green-loveseat,https://cdn-images.article.com/products/SKU14572/2890x1500/image118933.jpg?fit=max&w=1200&q=100,
Article Burrard Seasalt Gray Loveseat,Sofa,Article,"Mid-Century, Scandinavian",Gray,1099,Living Room,https://www.article.com/product/21204/burrard-67-loveseat-seasalt-gray,https://cdn-images.article.com/products/SKU430B/2890x1500/image120416.jpg?fit=max&w=1200&q=100,
Article Burrard Seasalt Gray Sectional,Sofa,Article,"Mid-Century, Scandinavian",Gray,1999,Living Room,https://www.article.com/product/21207/burrard-112-left-sectional-seasalt-gray,https://cdn-images.article.com/products/SKU433A/2890x1500/image192132.jpg?fit=max&w=1200&q=100,
Article Burrard Forest Green Sectional,Sofa,Article,"Mid-Century, Modern",Green,1999,Living Room,https://www.article.com/product/25571/burrard-112-left-sectional-forest-green,https://cdn-images.article.com/products/SKU14568/2890x1500/image192145.jpg?fit=max&w=1200&q=100,
Article Burrard Seasalt Ivory Sectional,Sofa,Article,"Mid-Century, Minimalist","Ivory, White",1999,Living Room,https://www.article.com/product/25575/burrard-112-left-sectional-seasalt-ivory,https://cdn-images.article.com/products/SKU22421/2890x1500/image188572.jpg?fit=max&w=1200&q=100,
Article Ceni Lounge Chair Quarry Gray,Chair,Article,"Mid-Century, Modern",Gray,599,Living Room,https://www.article.com/product/22222/ceni-39-lounge-chair-quarry-gray,https://cdn-images.article.com/products/SKU22222/2890x1500/image161955.jpg?fit=max&w=1200&q=100,
Article Ceni Lounge Chair Buckler Ivory,Chair,Article,"Mid-Century, Minimalist","Ivory, White",599,Living Room,https://www.article.com/product/25708/ceni-39-lounge-chair-buckler-ivory,https://cdn-images.article.com/products/SKU25708/2890x1500/image194634.jpg?fit=max&w=1200&q=100,
Article Ceni Lounge Chair Hemlock Green,Chair,Article,"Mid-Century, Modern",Green,599,Living Room,https://www.article.com/product/25343/ceni-39-lounge-chair-hemlock-green,https://cdn-images.article.com/products/SKU22220/2890x1500/image161945.jpg?fit=max&w=1200&q=100,
Article Ceni Lounge Chair Chalk Gray,Chair,Article,"Mid-Century, Minimalist",Gray,599,Living Room,https://www.article.com/product/22218/ceni-39-lounge-chair-chalk-gray,https://cdn-images.article.com/products/SKU22218/2890x1500/image122081.jpg?fit=max&w=1200&q=100,
Article Burrard Seasalt Gray Lounge Chair,Chair,Article,"Mid-Century, Scandinavian",Gray,699,Living Room,https://www.article.com/product/21208/burrard-32-lounge-chair-seasalt-gray,https://cdn-images.article.com/products/SKU435B/2890x1500/image119544.jpg?fit=max&w=1200&q=100,
